|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#FirstZero	#LastZero	#PerTrlMSec	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	1000	Base	0.9829	0	0	1	126	999	34.57	20	0.1083	0.05019	0.004176	20	0.1067	0.04399	0.004728	18	0.3296	0.1756	0.03224
1	1000	Base	0.9804	0	0	1	104	999	34.66	21	0.09173	0.04998	0.004561	19	0.09276	0.04769	0.004406	18	0.3446	0.1655	0.03131
2	1000	Base	0.9806	0	0	1	98	999	33.64	21	0.1077	0.04937	0.004413	20	0.09544	0.05077	0.004636	19	0.3337	0.1777	0.03144
3	1000	Base	0.9901	0	0	1	87	999	32.8	21	0.1042	0.05119	0.005107	21	0.09154	0.05201	0.005164	19	0.3522	0.1858	0.03496
4	1000	Base	0.9853	0	0	1	84	999	33.85	22	0.1163	0.05244	0.005072	21	0.0975	0.04843	0.004777	19	0.3438	0.1867	0.03322
5	1000	Base	0.9795	0.00064	0.008	0.992	159	999	33.02	19	0.09916	0.04668	0.004188	20	0.09425	0.04655	0.004537	19	0.3357	0.1691	0.03329
6	1000	Base	0.983	0.00032	0.008	0.992	130	999	32.07	19	0.1107	0.04623	0.003893	21	0.09535	0.0472	0.004741	19	0.3311	0.1764	0.03273
7	1000	Base	0.9864	0	0	1	113	999	36.33	20	0.1036	0.05286	0.004639	20	0.09758	0.04794	0.004958	19	0.3479	0.1797	0.0322
8	1000	Base	0.9817	0	0	1	110	999	36.67	18	0.1235	0.05032	0.003994	21	0.1006	0.04629	0.004609	19	0.3372	0.1774	0.03028
9	1000	Base	0.9693	0	0	1	119	999	36.18	19	0.1237	0.04487	0.003827	19	0.1201	0.04746	0.003792	19	0.3261	0.1598	0.02698
